fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2018-10-19,4,5,3.2,DIEGO,2018-10-19 04:00:00,1,
2018-10-19,18,22,3.4,DIEGO,2018-10-19 18:00:00,4,
2018-10-22,20,21,6.5,DIEGO,2018-10-22 20:00:00,1,
2018-10-23,13,14,2.0,NATALIO,2018-10-23 13:00:00,1,
2018-10-24,13,14,14.3,NA ,2018-10-24 13:00:00,1,
2018-10-25,16,18,4.3,NATALIO,2018-10-25 16:00:00,2,
2018-10-25,19,22,2.0,NATALIO,2018-10-25 19:00:00,3,
2018-10-26,16,18,3.1,TITO,2018-10-26 16:00:00,2,
2018-11-01,2,2,1.8,IVAN,2018-11-01 02:00:00,0,
2018-11-04,11,12,2.2,IVAN,2018-11-04 11:00:00,1,
2018-11-12,14,16,7.2,NATALIO,2018-11-12 14:00:00,2,
2018-11-19,4,6,5.0,EDWIN,2018-11-19 04:00:00,2,
2018-11-19,22,23,10.0,EDWIN,2018-11-19 22:00:00,1,
2018-11-22,0,2,8.2,IVAN,2018-11-22 00:00:00,2,
2018-11-26,12,13,7.2,DIEGO,2018-11-26 12:00:00,1,
2018-11-28,12,14,7.8,NATALIO,2018-11-28 12:00:00,2,
2018-12-02,12,15,2.4,TITO,2018-12-02 12:00:00,3,
2018-12-03,4,6,1.0,TITO,2018-12-03 04:00:00,2,
2018-12-08,4,5,1.8,IVAN,2018-12-08 04:00:00,1,
2018-12-13,12,13,0.6,DIEGO,2018-12-13 12:00:00,1,
2018-12-16,14,15,6.0,NATALIO,2018-12-16 14:00:00,1,
2018-12-17,5,6,3.6,NATALIO,2018-12-17 05:00:00,1,
2018-12-17,10,14,6.9,NATALIO,2018-12-17 10:00:00,4,
2018-12-17,18,23,18.0,NATALIO,2018-12-17 18:00:00,5,
2018-12-18,6,8,0.6,TITO,2018-12-18 06:00:00,2,
2018-12-18,20,23,6.0,TITO,2018-12-18 20:00:00,3,
2018-12-19,13,14,2.8,TITO,2018-12-19 13:00:00,1,
2018-12-19,20,23,11.6,TITO,2018-12-19 20:00:00,3,
2018-12-21,11,15,11.6,EDWIN,2018-12-21 11:00:00,4,
2018-12-22,13,14,4.0,EDWIN,2018-12-22 13:00:00,1,
2018-12-23,11,11,4.2,EDWIN,2018-12-23 11:00:00,0,
2018-12-23,21,23,1.4,EDWIN,2018-12-23 21:00:00,2,
2018-12-28,13,17,7.4,DIEGO,2018-12-28 13:00:00,4,
2018-12-29,3,5,7.6,DIEGO,2018-12-29 03:00:00,2,
2018-12-30,9,13,7.2,DIEGO,2018-12-30 09:00:00,4,
2018-12-31,16,17,0.8,DIEGO,2018-12-31 16:00:00,1,
2019-01-03,4,4,1.2,NATALIO,2019-01-03 04:00:00,0,
2019-01-03,11,13,14.2,NATALIO,2019-01-03 11:00:00,2,
2019-01-03,19,1_04012019,31.2,TITO,2019-01-03 19:00:00,104012000,
2019-01-04,11,12,0.2,TITO,2019-01-04 11:00:00,1,
2019-01-05,1,7,7,TITO,2019-01-05 01:00:00,6,
2019-01-05,11,12,0.8,TITO,2019-01-05 11:00:00,1,
2019-01-05,14,15,5,TITO,2019-01-05 14:00:00,1,
2019-01-06,22_05012019,2,5.6,TITO,2019-01-05 22:00:00,4,
2019-01-09,12,13,7.8,EDWIN,2019-01-09 12:00:00,1,
2019-01-11,14,15,3,IVAN,2019-01-11 14:00:00,1,
2019-01-13,12,14,6,IVAN,2019-01-13 12:00:00,2,
2019-01-16,2,4,2.8,DIEGO,2019-01-16 02:00:00,2,
2019-01-16,16,18,1.8,DIEGO,2019-01-16 16:00:00,2,
2019-01-18,6,7,0.4,NATALIO,2019-01-18 06:00:00,1,
2019-01-19,5,7,9,NATALIO,2019-01-19 05:00:00,2,
2019-01-22,11,13,1.4,TITO,2019-01-22 11:00:00,2,
2019-01-23,15,16,2,TITO,2019-01-23 15:00:00,1,
2019-01-25,3,5,6.2,EDWIN,2019-01-25 03:00:00,2,
2019-01-27,4,5,2,EDWIN,2019-01-27 04:00:00,1,
2019-01-28,8,14,12.8,EDWIN,2019-01-28 08:00:00,6,
2019-01-28,16,18,0,EDWIN,2019-01-28 16:00:00,2,
2019-01-28,21,23,0,IVAN,2019-01-28 21:00:00,2,
2019-01-31,1,1,3.2,IVAN,2019-01-31 01:00:00,0,
2019-02-01,12,18,9.4,DIEGO,2019-02-01 12:00:00,6,
2019-02-02,3,8,12.2,DIEGO,2019-02-02 03:00:00,5,
2019-02-05,2,3,2.2,NATALIO,2019-02-05 02:00:00,1,
2019-02-06,13,14,9,NATALIO,2019-02-06 13:00:00,1,
2019-02-09,20,21,4.2,TITO,2019-02-09 20:00:00,1,
2019-02-11,22_10022019,2,6.6,TITO,2019-02-10 22:00:00,4,
2019-02-12,12,14,4,EDWIN,2019-02-12 12:00:00,2,
2019-02-13,5,13,10.8,EDWIN,2019-02-13 05:00:00,8,
2019-02-15,14,15,6.6,IVAN,2019-02-15 14:00:00,1,
2019-02-17,15,19,14.8,IVAN,2019-02-17 15:00:00,4,
2019-02-24,2,2,2.6,NATALIO,2019-02-24 02:00:00,0,
